
D:\code\AntiGravity\pdftoolskit-main\components\tools\ChatTool.tsx
  230:73  error  `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`  react/no-unescaped-entities
  25118:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25119:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25120:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25121:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25122:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25122:16   error  'i' is already defined                                                     no-redeclare
  25123:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25124:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25125:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25126:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25127:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25128:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25129:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25130:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
